

Running new training session...
Logs from 2023-04-25

Epoch 1
-------------------------------
loss: 1.331148  [ 9744/11955]
loss: 1.254017  [ 9760/11955]
loss: 1.313662  [ 9776/11955]
loss: 1.221344  [ 9792/11955]
loss: 1.459497  [ 9808/11955]
loss: 1.283873  [ 9824/11955]
loss: 1.387173  [ 9840/11955]
loss: 1.279811  [ 9856/11955]
loss: 1.244551  [ 9872/11955]
loss: 1.252070  [ 9888/11955]
loss: 1.235539  [ 9904/11955]
loss: 1.512902  [ 9920/11955]
loss: 1.331010  [ 9936/11955]
loss: 1.227590  [ 9952/11955]
loss: 1.339733  [ 9968/11955]
loss: 1.355664  [ 9984/11955]
loss: 1.275273  [10000/11955]
loss: 1.445319  [10016/11955]
loss: 1.204663  [10032/11955]
loss: 1.216064  [10048/11955]
loss: 1.393368  [10064/11955]
loss: 1.396116  [10080/11955]
loss: 1.343982  [10096/11955]
loss: 1.488130  [10112/11955]
loss: 1.391953  [10128/11955]
loss: 1.321729  [10144/11955]
loss: 1.208283  [10160/11955]
loss: 1.350552  [10176/11955]
loss: 1.375641  [10192/11955]
loss: 1.333551  [10208/11955]
loss: 1.277365  [10224/11955]
loss: 1.274274  [10240/11955]
loss: 1.295191  [10256/11955]
loss: 1.462923  [10272/11955]
loss: 1.475256  [10288/11955]
loss: 1.345249  [10304/11955]
loss: 1.438201  [10320/11955]
loss: 1.410210  [10336/11955]
loss: 1.354465  [10352/11955]
loss: 1.235322  [10368/11955]
loss: 1.317067  [10384/11955]
loss: 1.182046  [10400/11955]
loss: 1.189267  [10416/11955]
loss: 1.248687  [10432/11955]
loss: 1.473798  [10448/11955]
loss: 1.497237  [10464/11955]
loss: 1.320355  [10480/11955]
loss: 1.360481  [10496/11955]
loss: 1.273458  [10512/11955]
loss: 1.424403  [10528/11955]
loss: 1.302866  [10544/11955]
loss: 1.372456  [10560/11955]
loss: 1.139188  [10576/11955]
loss: 1.414824  [10592/11955]
loss: 1.279970  [10608/11955]
loss: 1.438473  [10624/11955]
loss: 1.273441  [10640/11955]
loss: 1.298250  [10656/11955]
loss: 1.259767  [10672/11955]
loss: 1.366174  [10688/11955]
loss: 1.309113  [10704/11955]
loss: 1.378822  [10720/11955]
loss: 1.301017  [10736/11955]
loss: 1.179281  [10752/11955]
loss: 1.301813  [10768/11955]
loss: 1.233557  [10784/11955]
loss: 1.465017  [10800/11955]
loss: 1.427508  [10816/11955]
loss: 1.486003  [10832/11955]
loss: 1.407601  [10848/11955]
loss: 1.313361  [10864/11955]
loss: 1.431238  [10880/11955]
loss: 1.211849  [10896/11955]
loss: 1.354937  [10912/11955]
loss: 1.467116  [10928/11955]
loss: 1.496557  [10944/11955]
loss: 1.290192  [10960/11955]
loss: 1.436136  [10976/11955]
loss: 1.352791  [10992/11955]
loss: 1.311554  [11008/11955]
loss: 1.132380  [11024/11955]
loss: 1.393076  [11040/11955]
loss: 1.321006  [11056/11955]
loss: 1.323111  [11072/11955]
loss: 1.222886  [11088/11955]
loss: 1.253613  [11104/11955]
loss: 1.369888  [11120/11955]
loss: 1.499419  [11136/11955]
loss: 1.433144  [11152/11955]
loss: 1.452483  [11168/11955]
loss: 1.214218  [11184/11955]
loss: 1.343442  [11200/11955]
loss: 1.217036  [11216/11955]
loss: 1.389981  [11232/11955]
loss: 1.313359  [11248/11955]
loss: 1.441688  [11264/11955]
loss: 1.386239  [11280/11955]
loss: 1.216007  [11296/11955]
loss: 1.427769  [11312/11955]
loss: 1.183646  [11328/11955]
loss: 1.388229  [11344/11955]
loss: 1.359817  [11360/11955]
loss: 1.474644  [11376/11955]
loss: 1.449018  [11392/11955]
loss: 1.348378  [11408/11955]
loss: 1.343845  [11424/11955]
loss: 1.261975  [11440/11955]
loss: 1.369380  [11456/11955]
loss: 1.384489  [11472/11955]
loss: 1.253493  [11488/11955]
loss: 1.321243  [11504/11955]
loss: 1.479175  [11520/11955]
loss: 1.293624  [11536/11955]
loss: 1.498604  [11552/11955]
loss: 1.328340  [11568/11955]
loss: 1.371282  [11584/11955]
loss: 1.406720  [11600/11955]
loss: 1.261228  [11616/11955]
loss: 1.269206  [11632/11955]
loss: 1.394566  [11648/11955]
loss: 1.277417  [11664/11955]
loss: 1.430010  [11680/11955]
loss: 1.296199  [11696/11955]
loss: 1.431300  [11712/11955]
loss: 1.405154  [11728/11955]
loss: 1.253489  [11744/11955]
loss: 1.288272  [11760/11955]
loss: 1.379520  [11776/11955]
loss: 1.299658  [11792/11955]
loss: 1.293020  [11808/11955]
loss: 1.416948  [11824/11955]
loss: 1.347250  [11840/11955]
loss: 1.286018  [11856/11955]
loss: 1.575053  [11872/11955]
